Frame,Object.ID,Transformed.X,Transformed.Y,Spiel läuft,Game,Spieler schlägt,Speed
0,0,1.6403386846312775,-12.056090670181614,Nein,Spiel läuft nicht,Nein,
1,0,1.6408433288975133,-12.053270493206533,Nein,Spiel läuft nicht,Nein,
2,0,1.6405311128873474,-12.051376264603249,Nein,Spiel läuft nicht,Nein,
3,0,1.638165249994318,-12.051634014297967,Nein,Spiel läuft nicht,Nein,
4,0,1.6324753103894114,-12.053029530351187,Nein,Spiel läuft nicht,Nein,
5,0,1.6262981431525376,-12.055572428887542,Nein,Spiel läuft nicht,Nein,
5,1,-2.3794834448987783,12.153031820414522,Nein,Spiel läuft nicht,Nein,
6,1,-2.379490602363984,12.329034687742425,Nein,Spiel läuft nicht,Nein,
6,0,1.6212414136098738,-12.058624030910206,Nein,Spiel läuft nicht,Nein,
7,0,1.6166307426127728,-12.061408308965374,Nein,Spiel läuft nicht,Nein,
8,0,1.612709312622973,-12.063395189465474,Nein,Spiel läuft nicht,Nein,
9,1,-2.3873916459175977,12.677928992866928,Nein,Spiel läuft nicht,Nein,
9,0,1.6094691721965235,-12.065232002162636,Nein,Spiel läuft nicht,Nein,0.15607604392176694
10,0,1.6043439078054933,-12.066762194974665,Nein,Spiel läuft nicht,Nein,0.145276823829269
11,1,-2.3794159434070945,12.59762831614924,Nein,Spiel läuft nicht,Nein,
11,0,1.6007189049947883,-12.06761662318094,Nein,Spiel läuft nicht,Nein,0.12751239401555883
12,0,1.5976133394297354,-12.067820121341104,Nein,Spiel läuft nicht,Nein,0.10986200675444265
12,1,-2.386668042536511,12.602499897623337,Nein,Spiel läuft nicht,Nein,
13,0,1.5952138667224003,-12.06731923620612,Nein,Spiel läuft nicht,Nein,0.09735179612011034
13,1,-2.402230406427356,12.616236772866333,Nein,Spiel läuft nicht,Nein,
14,0,1.593403127448847,-12.065738773365371,Nein,Spiel läuft nicht,Nein,0.09085216484660906
14,1,-2.433407482617616,12.630124016621966,Nein,Spiel läuft nicht,Nein,
15,0,1.5917630640629978,-12.06348556704269,Nein,Spiel läuft nicht,Nein,0.09362378440282816
15,1,-2.465286317483285,12.637995024072165,Nein,Spiel läuft nicht,Nein,
16,0,1.5869835323363972,-12.060541805456934,Nein,Spiel läuft nicht,Nein,0.10916735937560565
16,1,-2.4946579815798744,12.658138562402236,Nein,Spiel läuft nicht,Nein,
17,1,-2.5196602433675364,12.659443573557772,Nein,Spiel läuft nicht,Nein,
17,0,1.5810422444026837,-12.056870946697954,Nein,Spiel läuft nicht,Nein,0.13580379327384884
18,1,-2.538761263108821,12.669144410789462,Nein,Spiel läuft nicht,Nein,
18,0,1.5747972345009633,-12.052807049170603,Nein,Spiel läuft nicht,Nein,0.17016917546066046
19,1,-2.5529109766719404,12.706559750601881,Nein,Spiel läuft nicht,Nein,
19,0,1.5670635012431402,-12.048981890306422,Nein,Spiel läuft nicht,Nein,0.20698886296745572
20,0,1.557511190041351,-12.046031332474872,Nein,Spiel läuft nicht,Nein,0.23668214764173567
20,1,-2.5667424398139684,12.781265888951031,Nein,Spiel läuft nicht,Nein,1.0678878939539174
21,0,1.5483491954772068,-12.043700793494764,Nein,Spiel läuft nicht,Nein,0.2546052112196703
21,1,-2.5724739517401747,12.804311996042554,Nein,Spiel läuft nicht,Nein,1.190959174874823
22,1,-2.5789380655639618,12.851710769604395,Nein,Spiel läuft nicht,Nein,1.3328670155804159
22,0,1.5399288977289842,-12.040283663319823,Nein,Spiel läuft nicht,Nein,0.25824822771487693
23,1,-2.5843584279448275,12.915855977887698,Nein,Spiel läuft nicht,Nein,1.4790865139363143
23,0,1.5337039011645366,-12.03560576355753,Nein,Spiel läuft nicht,Nein,0.2520075794432299
24,1,-2.587860899296161,12.985110017342398,Nein,Spiel läuft nicht,Nein,1.5901400884573322
24,0,1.5292519281207138,-12.029238097401663,Nein,Spiel läuft nicht,Nein,0.24580072055358934
25,0,1.52674592015953,-12.02136235316824,Nein,Spiel läuft nicht,Nein,0.2514526525200336
25,1,-2.5896583300409746,13.03113887490498,Nein,Spiel läuft nicht,Nein,1.6757450661417732
26,1,-2.5899889212510994,13.082231290146808,Nein,Spiel läuft nicht,Nein,1.6836621499509588
26,0,1.525758367016939,-12.010979430600917,Nein,Spiel läuft nicht,Nein,0.2747192064762282
27,1,-2.5916288856099166,13.136880838451365,Nein,Spiel läuft nicht,Nein,1.6426225955135985
27,0,1.5254139796553483,-11.99598879527429,Nein,Spiel läuft nicht,Nein,0.32004514151541913
28,0,1.5254628659370395,-11.978390364654807,Nein,Spiel läuft nicht,Nein,0.38243034377215357
28,1,-2.594527702217806,13.188330918987596,Nein,Spiel läuft nicht,Nein,1.5753347379232778
29,1,-2.598651629510456,13.23755684521879,Nein,Spiel läuft nicht,Nein,1.4944542206623601
29,0,1.5267829327573783,-11.958884470110313,Nein,Spiel läuft nicht,Nein,0.45247089366558396
30,0,1.5290067418541577,-11.938480920193648,Nein,Spiel läuft nicht,Nein,0.5182353830854155
30,1,-2.5993581770580576,13.268292233944122,Nein,Spiel läuft nicht,Nein,1.3308420949675075
31,0,1.5322372498554189,-11.917182064514485,Nein,Spiel läuft nicht,Nein,0.5742210126559305
31,1,-2.599387345717738,13.292669238684066,Nein,Spiel läuft nicht,Nein,1.1446933519391214
32,1,-2.598645572944845,13.311318504057244,Nein,Spiel läuft nicht,Nein,0.9514228290649512
32,0,1.5361439852326575,-11.89619852943899,Nein,Spiel läuft nicht,Nein,0.6172284289099413
33,0,1.5413535030111358,-11.87362562675103,Nein,Spiel läuft nicht,Nein,0.6534400300241219
33,1,-2.5963782336586108,13.331498648272566,Nein,Spiel läuft nicht,Nein,0.7453863310016758
34,0,1.5455485730914675,-11.84841873248264,Nein,Spiel läuft nicht,Nein,0.6925961205184878
34,1,-2.591587783517122,13.340834551246438,Nein,Spiel läuft nicht,Nein,0.5347848073864381
35,1,-2.5874728161147265,13.34247199376794,Nein,Spiel läuft nicht,Nein,0.363833142450092
35,0,1.5490091179889571,-11.820300467604653,Nein,Spiel läuft nicht,Nein,0.7461894160247441
36,1,-2.584280553501461,13.341081350017081,Nein,Spiel läuft nicht,Nein,0.24899839777181793
36,0,1.552254629071233,-11.791244344269387,Nein,Spiel läuft nicht,Nein,0.8233465000996284
37,0,1.5538724882056858,-11.75494952093089,Nein,Spiel läuft nicht,Nein,0.9263227583093273
37,1,-2.581805810958218,13.331897259672914,Nein,Spiel läuft nicht,Nein,0.18839851187845355
38,1,-2.579437624865686,13.320894430326705,Nein,Spiel läuft nicht,Nein,0.1784366395499621
38,0,1.5581988744826523,-11.712449329519355,Nein,Spiel läuft nicht,Nein,1.0473039880480182
39,1,-2.5770320327754814,13.310865296271004,Nein,Spiel läuft nicht,Nein,0.19498642039935482
39,0,1.5644146567947557,-11.664361543382011,Nein,Spiel läuft nicht,Nein,1.1851100428486516
40,0,1.5715657793834414,-11.61307769015458,Nein,Spiel läuft nicht,Nein,1.323532553398389
40,1,-2.5748875892317966,13.30253564392111,Nein,Spiel läuft nicht,Nein,0.22510646334410583
41,1,-2.572024443242568,13.297689408717002,Nein,Spiel läuft nicht,Nein,0.2510352328160003
41,0,1.5784950825132782,-11.562831420428619,Nein,Spiel läuft nicht,Nein,1.4279915846426783
42,1,-2.5690011025478023,13.290857901729044,Nein,Spiel läuft nicht,Nein,0.25022810967568415
42,0,1.5819227235260584,-11.513114670467822,Nein,Spiel läuft nicht,Nein,1.4782894978200058
43,1,-2.565911562255045,13.283686300415983,Nein,Spiel läuft nicht,Nein,0.21863631555159527
43,0,1.5825710673215936,-11.459414156897548,Nein,Spiel läuft nicht,Nein,1.4632968419101753
44,1,-2.5592981760005267,13.281873733617159,Nein,Spiel läuft nicht,Nein,0.18704718685998456
44,0,1.581759457686264,-11.420165706170044,Nein,Spiel läuft nicht,Nein,1.371154241888092
45,1,-2.5545266077768103,13.282707605525548,Nein,Spiel läuft nicht,Nein,0.16296506805715266
45,0,1.5808773359119137,-11.39550104270608,Nein,Spiel läuft nicht,Nein,1.2099000081565807
46,0,1.5796596599246588,-11.375956171123244,Nein,Spiel läuft nicht,Nein,1.0098182122539656
